"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","stim_order","rt","stimulus","response","workerId","interview_date","handedness","version","phase","difficulty","stimulus_set","selected_stim","index","deck_probabilities","key_press","reward_type","reversal_type","reward_tally","total_earnings"
"true","false","[]","[]","[]","preload","0","137","0.0-0.0","[""rabbit"",""dog"",""cat""]","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","789","0.0-1.0","[""rabbit"",""dog"",""cat""]","652","
        <div style=""background-color:green; padding:10px "">
        <p style=""color:white"">Welcome to the experiment!</p>
        <p style=""color:white"">Press any key to begin.</p>
        </div>","0","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","1154","0.0-2.0","[""rabbit"",""dog"",""cat""]","364","
        <p>You will now play several rounds of a card game.</p> 
        <p>You will be given a starting pool of 0 points and your goal is to gain as many points as possible during the rounds.</p>
        <p>Please press the zero (0) key to continue.</p>","0","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","1397","0.0-3.0","[""rabbit"",""dog"",""cat""]","243","
        <p>Your points will be converted to a final bonus of <b> $1 </b> per every <b> 2000 </b> points, so please do your best. </p> 
        <p>You can earn a maximum bonus of <b> $0.1 </b> at the end of these rounds. </p> 
        <p>Please press the zero (0) key to continue.</p>","0","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","2328","0.0-4.0","[""rabbit"",""dog"",""cat""]","928","
        <p>In this game, you will see three kinds of animals. On each turn you will pick one of them.</p>
        <p>You can select an animal using the <i>1</i>, <i>2</i>, or <i>3</i> keys on your keyboard to choose the <i>left</i>, <i>middle</i>, or <i>right</i> animal respectively.</p>
        <p>Let's practice selecting an animal.</p>
        <p>Pick the <strong>left</strong> animal by pressing the <strong>1</strong> key.
        <div class='image-container'>
            <img class='stimuli-left' src='stim/gain/8/rabbitsquare.jpg'>
            <img class='stimuli-middle' src='stim/gain/8/dogsquare.jpg'>
            <img class='stimuli-right' src='stim/gain/8/catsquare.jpg'>
        </div>","1","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","2750","0.0-5.0","[""rabbit"",""dog"",""cat""]","421","
        <p>Great! Now pick the <strong>middle</strong> animal by pressing the <strong>2</strong> key.</p>
        <div class='image-container'>
            <img class='stimuli-left' src='stim/gain/8/rabbitsquare.jpg'>
            <img class='stimuli-middle' src='stim/gain/8/dogsquare.jpg'>
            <img class='stimuli-right' src='stim/gain/8/catsquare.jpg'>
        </div>","2","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","3218","0.0-6.0","[""rabbit"",""dog"",""cat""]","466","
        <p>Excellent! Now pick the <strong>right</strong> animal by pressing the <strong>3</strong> key.</p>
        <div class='image-container'>
            <img class='stimuli-left' src='stim/gain/8/rabbitsquare.jpg'>
            <img class='stimuli-middle' src='stim/gain/8/dogsquare.jpg'>
            <img class='stimuli-right' src='stim/gain/8/catsquare.jpg'>
        </div>","3","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","3693","0.0-7.0","[""rabbit"",""dog"",""cat""]","473","
        <p>Good job! You have successfully practiced selecting animals.</p>
        <p>Some animals lead to a better outcome than others.</p>
        <p>An animal can either give you <b> 50 </b> points or <b> no points. </b> </p>
        <p>Below you can see what those outcomes look like:</p>
        <div class='outcome-container'>
        <img class='outcome-left' src='stim/gain/outcome/squared_win.png'>
        <img class='outcome-right' src='stim/gain/outcome/squared_lose.png'>
        </div>
        <p>Please press the zero (0) key to continue.</p>","0","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","4555","0.0-8.0","[""rabbit"",""dog"",""cat""]","861","
        <p>Your job is to figure out which animal is the best choice, so that you can gain as many points as possible.</p>
        <p>Your total points will be converted to a final bonus of <b> $1 </b> per every <b> 2000 </b> points at the end of the game.</p>
        <p>Please press the zero (0) key to continue.</p>","0","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","5091","0.0-9.0","[""rabbit"",""dog"",""cat""]","536","
        <p>However, there is one final catch:</p>
        <p><b>There may be times when the best animal will change!</b></p>
        <p>If you think the best animal has changed from what it was before, then try to find out the new best animal to gain more points.</p>
        <p>Please press the zero (0) key to continue.</p>","0","","","","","","","","","","","","","","",""
